,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
578,CCOc1ccc(C(C)NC(=O)C2(n3cccn3)CCNCC2)cc1OCC.Cl,0.0141117397154515,0.2725329732546574,0.03,0.159,0.129,-0.129,-0.232,-0.027,0.041,-0.6409999999999999,0.6409999999999999,0.205,0.177,0.188,4.869
579,CC1CC(Nc2ncc3c(n2)N(C2=CCCC2)CC(C)(C)C(=O)N3C)=CNC1=O,0.0293627084183483,0.2769061425935604,0.016,0.14,0.124,-0.124,-0.245,-0.002,0.031,-0.777,0.777,0.243,0.219,0.156,4.11
580,Cc1ccc(CNC(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc3c(c2)c(=O)n(C)c(=O)n3C)cc1,0.0131562573388844,0.3558069373046916,0.046,0.218,0.171,-0.171,-0.298,-0.045,0.058,-0.994,0.994,0.253,0.245,0.264,3.954
581,CCCOc1cccc(C(=O)NC(=S)Nc2cccc(NC(=O)CCc3ccccc3)c2)c1,0.0167944402342743,0.3330591068779612,0.037,0.195,0.158,-0.158,-0.283,-0.033,0.05,-0.7659999999999999,0.7659999999999999,0.25,0.243,0.231,4.005
582,Cc1c(NC(=O)CCN2C[C@@H](CN)[C@H](c3ccccc3)C2)cccc1[N+](=O)[O-].Cl,0.0098855676652511,0.3163749146102138,0.044,0.197,0.153,-0.153,-0.263,-0.044,0.054,-0.794,0.794,0.219,0.215,0.242,4.564
583,CC(C)CNc1cc(-c2ccc(N3CCN(C)CC3)cc2)c(-c2cc(F)c(O)c(F)c2)cn1,0.0334786325020216,0.2859097265265958,0.015,0.141,0.126,-0.126,-0.255,0.003,0.031,-0.638,0.638,0.258,0.25,0.156,3.883
584,CC(C)N1CCC(Nc2cccc(CN3CCC(CO)CC3)c2)CC1,0.054535994108672,0.2803605788780719,0.006,0.118,0.113,-0.113,-0.258,0.033,0.022,-0.645,0.645,0.291,0.281,0.124,3.435
585,NCC1=CC=CSC=C1,0.0194771407530971,0.3139127100244449,0.03,0.177,0.147,-0.147,-0.27,-0.025,0.044,-0.583,0.583,0.245,0.203,0.208,4.084
586,CC(C)c1n[nH]c(C(N)C2CC2)n1,0.0730944018073777,0.3444146474302386,0.005,0.141,0.136,-0.136,-0.319,0.048,0.025,-0.585,0.585,0.3670000000000001,0.357,0.146,2.721
587,Cc1ccc(C(=O)NNC(=O)c2c(C)cccc2Cl)cc1Nc1nccc(-c2cnccn2)n1,0.0076438590125362,0.3395637369030521,0.054,0.22,0.166,-0.166,-0.278,-0.054,0.061,-0.821,0.821,0.225,0.196,0.273,4.452
588,CC(=O)N1CCc2cc(S(=O)(=O)N[C@@H](Cc3ccccc3)C(=O)NC3CCCCCC3)ccc21,0.0294362070626996,0.3327283629783803,0.024,0.175,0.152,-0.152,-0.292,-0.012,0.0409999999999999,-0.536,0.536,0.28,0.261,0.1989999999999999,3.571
589,COc1ccc(F)cc1C(N)Cc1cccc(Br)c1,0.0386235376066133,0.3202703427608333,0.016,0.157,0.141,-0.141,-0.286,0.005,0.034,-0.613,0.613,0.291,0.2689999999999999,0.173,3.44
590,CC(C)CCc1ccc(C=CC(=O)c2cccc3c2OC(N)(c2nn[nH]n2)CO3)cc1,0.0184849090543544,0.3300456624595575,0.034,0.19,0.156,-0.156,-0.282,-0.03,0.048,-0.78,0.78,0.252,0.242,0.2239999999999999,3.962
591,CCCNC(C(C)C)C(C)c1ccccc1Br,0.0506038166358769,0.3171833996980782,0.01,0.143,0.133,-0.133,-0.289,0.022,0.0289999999999999,-0.86,0.86,0.311,0.293,0.153,3.22
