,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
0,NS(=O)(=O)c1ccc(NC(=O)NCc2ccccc2OC(F)F)cc1,0.0300241962175101,0.3544839617063681,0.026,0.189,0.162,-0.162,-0.31,-0.015,0.045,-0.518,0.518,0.295,0.28,0.215,3.385
1,CC(C)(C)NCc1cc(Cl)cc(Br)c1,0.0431069549120433,0.3380570146938502,0.016,0.163,0.147,-0.147,-0.303,0.008,0.035,-0.789,0.789,0.311,0.303,0.179,3.212
2,CCC(C)N(C)CC(=O)Nc1ccc(CN)cc1,0.0515225496902682,0.2996907223424664,0.008,0.132,0.124,-0.124,-0.274,0.026,0.026,-0.461,0.461,0.3,0.271,0.14,3.335
3,CCC(C)N(C)CC(=O)Nc1ccc(CN)cc1,0.0479211161170541,0.30634234965626,0.01,0.139,0.129,-0.129,-0.278,0.02,0.028,-0.522,0.522,0.298,0.289,0.149,3.353
4,CCC(C)N(C)CC(=O)Nc1ccc(CN)cc1,0.0481048627279323,0.3060851044010304,0.01,0.139,0.129,-0.129,-0.278,0.02,0.028,-0.519,0.519,0.298,0.289,0.149,3.3510000000000004
5,Cc1cnn(CC(C)NCC(=O)NCCc2cccs2)c1,0.0521472881672544,0.3220343102252647,0.01,0.145,0.135,-0.135,-0.293,0.023,0.029,-0.388,0.388,0.317,0.306,0.155,3.158
6,Cc1cnn(CC(C)NCC(=O)NCCc2cccs2)c1,0.045899903397393,0.3177713888528887,0.012,0.148,0.136,-0.136,-0.287,0.015,0.031,-0.983,0.983,0.303,0.289,0.16,3.304
7,Cc1cnn(CC(C)NCC(=O)NCCc2cccs2)c1,0.0431069549120433,0.3241657709114526,0.014,0.155,0.141,-0.141,-0.291,0.01,0.033,-0.993,0.993,0.302,0.293,0.1689999999999999,3.313
8,CNc1cccc(-c2cnc(-c3ccncc3)nc2C2CCN(C(=O)OC(C)(C)C)CC2)c1,0.0142954863263297,0.3322873711122724,0.04,0.199,0.159,-0.159,-0.28,-0.038,0.052,-0.974,0.974,0.242,0.218,0.239,4.128
9,CNc1cccc(-c2cnc(-c3ccncc3)nc2C2CCN(C(=O)OC(C)(C)C)CC2)c1,0.0133400039497627,0.3270689673633294,0.04,0.197,0.157,-0.157,-0.275,-0.039,0.052,-0.918,0.918,0.236,0.203,0.238,4.232
10,Cc1cc(CN2C(=O)C(C3=NS(=O)(=O)c4c(CNS(C)(=O)=O)cccc43)=C(O)C2C(C)(C)C)ccc1F,0.0013229755983235,0.4020743339238413,0.093,0.293,0.2,-0.2,-0.313,-0.088,0.089,-0.865,0.865,0.225,0.213,0.385,4.45
11,Cc1cc(CN2C(=O)C(C3=NS(=O)(=O)c4c(CNS(C)(=O)=O)cccc43)=C(O)C2C(C)(C)C)ccc1F,0.0011392289874453,0.4006411103589907,0.093,0.293,0.2,-0.2,-0.311,-0.089,0.09,-0.945,0.945,0.222,0.208,0.387,4.496
12,CCOCCN(CC)C(CN)c1cncn1C,0.0683537392467182,0.2820877970203277,0.003,0.109,0.107,-0.107,-0.264,0.05,0.018,-0.809,0.809,0.314,0.286,0.112,3.184
13,CCOCCN(CC)C(CN)c1cncn1C,0.0744173774057013,0.2831535273634217,0.002,0.106,0.104,-0.104,-0.266,0.058,0.017,-0.812,0.812,0.324,0.307,0.108,3.087
14,CCOCCN(CC)C(CN)c1cncn1C,0.0719551728199324,0.2910913809533632,0.002,0.112,0.11,-0.11,-0.273,0.054,0.018,-0.925,0.925,0.326,0.303,0.114,3.065
15,CC=CC(=O)N1CCCC(NN=[N+]=[N-])C1,0.0392115267614238,0.3387552518151877,0.018,0.168,0.15,-0.15,-0.302,0.002,0.037,-0.733,0.733,0.304,0.296,0.185,3.287
16,CC=CC(=O)N1CCCC(NN=[N+]=[N-])C1,0.0331846379246164,0.3498902964344112,0.023,0.182,0.158,-0.158,-0.308,-0.009,0.042,-0.925,0.925,0.299,0.294,0.205,3.341
17,CC(N)C(=O)N(C)Cc1cscn1,0.0420779738911249,0.3420626908109966,0.017,0.1669999999999999,0.15,-0.15,-0.306,0.006,0.036,-0.741,0.741,0.312,0.305,0.183,3.205
18,CC(N)C(=O)N(C)Cc1cscn1,0.0338461257237782,0.340960211145727,0.022,0.175,0.154,-0.154,-0.301,-0.006,0.04,-0.959,0.959,0.295,0.287,0.197,3.392
19,CCCNCC(C)(C)Oc1cccc(CC)c1,0.0583211742927644,0.3232102885348856,0.008,0.14,0.132,-0.132,-0.296,0.032,0.027,-0.831,0.831,0.328,0.327,0.148,3.049
20,Nc1ccc(OCCN2CCCC2)cc1C[C@@H]1CCN(CCOc2ccc(NC(=O)Nc3ccc(Oc4ccncc4)cc3)cc2)C1,0.0264227626442959,0.2833005246521243,0.019,0.148,0.128,-0.128,-0.249,-0.008,0.034,-0.981,0.981,0.241,0.226,0.1669999999999999,4.142
21,Nc1ccc(OCCN2CCCC2)cc1C[C@@H]1CCN(CCOc2ccc(NC(=O)Nc3ccc(Oc4ccncc4)cc3)cc2)C1,0.027267997054336,0.2821980449868547,0.018,0.146,0.127,-0.127,-0.249,-0.006,0.034,-1.0,1.0,0.242,0.228,0.1639999999999999,4.125
22,Nc1ccc(OCCN2CCCC2)cc1C[C@@H]1CCN(CCOc2ccc(NC(=O)Nc3ccc(Oc4ccncc4)cc3)cc2)C1,0.0278927355313221,0.2803605788780719,0.018,0.144,0.126,-0.126,-0.248,-0.005,0.033,-0.871,0.871,0.243,0.224,0.162,4.122
23,CCC(NC)C(=O)N(C)N=[N+]=[N-],0.020873614995772,0.3429446745432124,0.033,0.195,0.161,-0.161,-0.294,-0.028,0.049,-0.947,0.947,0.266,0.252,0.228,3.753
24,CC(C)(C)c1ccccc1Oc1ccc(CN)c(Br)c1,0.0391747774392482,0.321997560903089,0.016,0.157,0.141,-0.141,-0.288,0.005,0.034,-0.603,0.603,0.293,0.269,0.173,3.414
25,Nc1cc(Oc2ccc(NC(=O)Nc3cc(-c4ccccn4)cc(C(F)(F)F)c3)cc2)ncn1,0.0110247966526964,0.3428344265766854,0.047,0.213,0.166,-0.166,-0.285,-0.047,0.058,-0.935,0.935,0.238,0.212,0.261,4.194
26,Nc1cc(Oc2ccc(NC(=O)Nc3cc(-c4ccccn4)cc(C(F)(F)F)c3)cc2)ncn1,0.0180439171882466,0.321997560903089,0.033,0.185,0.152,-0.152,-0.275,-0.029,0.047,-0.9,0.9,0.246,0.219,0.218,4.062
27,Nc1cc(Oc2ccc(NC(=O)Nc3cc(-c4ccccn4)cc(C(F)(F)F)c3)cc2)ncn1,0.0115392871631556,0.3300456624595575,0.044,0.203,0.159,-0.159,-0.275,-0.043,0.055,-0.95,0.95,0.232,0.201,0.247,4.302
28,CC(C)S(=O)(=O)CCC(=O)CC1CNc2ccccc21,0.0456426581421635,0.2944355692713478,0.01,0.134,0.124,-0.124,-0.267,0.019,0.027,-0.818,0.818,0.286,0.239,0.144,3.497
29,COc1ccc(-c2nc(C)c(C(=O)NCC3CCCNC3)s2)cc1OC,0.016610693623396,0.3124427371374188,0.033,0.181,0.148,-0.148,-0.266,-0.03,0.046,-0.569,0.569,0.237,0.219,0.215,4.228
30,COc1ccc(-c2nc(C)c(C(=O)NCC3CCCNC3)s2)cc1OC,0.0127887641171279,0.3170731517315513,0.039,0.192,0.152,-0.152,-0.266,-0.038,0.051,-0.524,0.524,0.229,0.208,0.231,4.375
31,CC1(C)CCC(NCc2ccc(-c3ccc4nc[nH]c4c3)cc2C(F)(F)F)CC1,0.0270107517991064,0.3238717763340474,0.024,0.173,0.148,-0.148,-0.283,-0.014,0.041,-0.424,0.424,0.269,0.246,0.197,3.718
