,smiles
137,O=C(O)/C(Cl)=C\c1ccccc1
138,O=C(O)/C(Br)=C(\Br)C(=O)O
139,O=C(O)c1c(Br)ccc(Br)c1F
140,O=C(O)C1NCCNC1C(=O)O
141,O=C(O)CC(S)(S)C(=O)O
142,O=C(O)COCc1ccc(I)cc1
143,O=C(O)C(Br)C(=O)O
144,O=C(O)C(F)(F)Sc1ccccc1
145,O=C(O)c1cc(C(=O)O)c(Br)cc1Br
146,O=C(O)COc1ccc(Br)cc1
147,O=C(O)COc1ccc(Cl)cc1
148,O=C(O)C(Cl)Br
149,O=C(O)CC(=O)CC(=O)O
150,O=C(O)CI
151,O=C(O)C#CC(=O)O
152,O=C(O)/C=C(/CC(=O)O)C(=O)O
153,C=CC(=O)O
154,O=C(O)c1cccc(C(=O)O)n1
155,O=C(O)C=CC(=O)O
156,O=C(O)CBr
157,C=CCCC(=O)O
158,C=CCC(C(=O)O)C(=O)O
159,O=C(O)C(F)(F)F
160,O=C(O)CCBr
161,O=C(O)c1ccccc1O
162,O=C(O)C=Cc1cccc(Br)c1
163,O=Cc1ccc(C(=O)O)cc1
164,O=C(O)c1ccc(F)cc1
165,O=C(O)c1ccc(O)nc1
166,O=C(O)C=Cc1cccs1
167,O=C(O)Cc1ccccc1CC(=O)O
168,O=C(O)CCCl
169,C=CCC(=O)O
170,O=C(O)c1ccccc1Cl
171,O=C(O)c1ccccc1Br
172,O=C(O)c1cccc(I)c1
173,O=C(O)Cc1ccc(Br)cc1
174,O=C(O)Cc1ccc(Cl)cc1
175,O=C(O)c1ccc(Cl)cc1Cl
176,O=C(O)C(Br)CBr
177,O=C(O)C(F)F
178,O=C(O)COCC(=O)O
179,O=C(O)c1ccc(Cl)c(Cl)c1
180,O=C(O)c1cccnc1Cl
181,O=C(O)CCCCCBr
182,O=C(O)c1ncccc1O
183,O=C(O)c1cc(F)ccc1O
184,O=C(O)c1cc(O)nc(O)c1
185,O=C(O)c1ccc(Cl)nc1
186,O=C(O)CSC(=S)c1ccccc1
187,O=C(O)CCCCBr
188,O=C(O)COc1ccccc1
189,O=C(O)c1ccc(CBr)cc1
190,O=C(O)C(C(=O)O)c1ccccc1
191,O=C(O)C1CCCN1
192,O=C(O)c1cccc(Br)c1
193,O=C(O)c1ccoc1
194,O=C(O)C(F)(F)C(F)(F)C(F)(F)F
195,O=C(O)CC(Br)C(=O)O
196,O=C(O)C(=O)CBr
197,O=C(O)C(CBr)CBr
198,O=C(O)CCCBr
199,O=C(O)CCCCCCCCCCBr
200,O=C(O)C(Br)C(Br)c1ccccc1
201,O=C(O)CCCCCCCCCCCBr
202,O=C(O)CC(=O)C(=O)O
203,O=C(O)c1cncc(Br)c1
204,O=C(O)CSC(=S)SCC(=O)O
205,C=C(CBr)C(=O)O
206,O=C(O)c1cc(Br)ccc1Cl
207,O=C(O)Cc1ccc(CBr)cc1
208,O=C(O)C(C(F)(F)F)C(F)(F)F
209,O=C(O)CCCCCCCBr
210,O=C(O)C1CC(C(=O)O)CC(C(=O)O)C1
211,O=C(O)Cc1ccccc1Br
212,O=C(O)Cc1cccc(Br)c1
213,O=C(O)c1cc[n+]([O-])cc1
214,O=C(O)c1c(F)cccc1F
215,O=C(O)Cc1ccccc1Cl
216,O=C(O)c1ccc(I)cc1
217,O=C(O)Cc1ccccc1F
218,O=C(O)CNCC(=O)O
219,O=C(O)Cc1ccsc1
220,O=C(O)c1cc(=O)cc(C(=O)O)o1
221,C#CCCC(=O)O
222,O=C(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
223,O=C(O)c1cccc(Cl)c1
224,O=C(O)CCCCl
225,O=C(O)c1ccc(O)cc1
