,smiles
480,O=C(O)CCCCCCCCCCCCCCCCCCCCBr
481,O=C(O)CCCCCCBr
483,O=C(O)CCCCCCCCCCCCCCCCCCBr
486,O=C(O)c1ccc(Br)cc1O
488,C#CCC(=O)O
489,O=C(O)CF
491,O=C(O)c1ccc(Br)nc1
494,O=C(O)C(=O)c1ccco1
497,O=C(O)C(=O)c1ccccc1
498,O=C(O)C#Cc1ccccc1
499,O=C(O)C1CCNCC1
500,C#CC(=O)O
501,O=C(O)c1cnccn1
502,O=C(O)c1ccc[nH]1
504,O=C(O)c1cccs1
510,O=C(O)CCI
518,O=C/C(Cl)=C(\Cl)C(=O)O
525,O=C(O)C(=O)c1cc(F)ccc1F
529,O=C(O)C(=O)c1ccc(Br)cc1
546,O=C(O)C1(O)CSC1
548,C=CC(Cl)C(=O)O
552,O=C(O)c1cc(F)ccn1
559,O=C(O)C1CCOCC1
562,O=C(O)c1cc(Cl)ccn1
565,O=C(O)c1cc(Br)ccn1
573,N#CCSCC(=O)O
574,O=C(O)CSc1cccs1
