,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
1192,NCC1=CC=CSC=C1,0.0194771407530971,0.3139127100244449,0.03,0.177,0.147,-0.147,-0.27,-0.025,0.044,-0.583,0.583,0.245,0.203,0.208,4.084
1193,CC(C)c1n[nH]c(C(N)C2CC2)n1,0.0730944018073777,0.3444146474302386,0.005,0.141,0.136,-0.136,-0.319,0.048,0.025,-0.585,0.585,0.3670000000000001,0.357,0.146,2.721
1194,Cc1ccc(C(=O)NNC(=O)c2c(C)cccc2Cl)cc1Nc1nccc(-c2cnccn2)n1,0.0076438590125362,0.3395637369030521,0.054,0.22,0.166,-0.166,-0.278,-0.054,0.061,-0.821,0.821,0.225,0.196,0.273,4.452
1195,Cc1ccc(C(=O)NNC(=O)c2c(C)cccc2Cl)cc1Nc1nccc(-c2cnccn2)n1,0.0070191205355501,0.3437531596310768,0.056,0.224,0.168,-0.168,-0.281,-0.056,0.063,-0.8059999999999999,0.8059999999999999,0.225,0.185,0.281,4.454
1196,Cc1ccc(C(=O)NNC(=O)c2c(C)cccc2Cl)cc1Nc1nccc(-c2cnccn2)n1,0.006063638158983,0.352572996953234,0.061,0.234,0.173,-0.173,-0.286,-0.06,0.067,-0.8170000000000001,0.8170000000000001,0.226,0.2,0.294,4.433
1197,CC(=O)N1CCc2cc(S(=O)(=O)N[C@@H](Cc3ccccc3)C(=O)NC3CCCCCC3)ccc21,0.0294362070626996,0.3327283629783803,0.024,0.175,0.152,-0.152,-0.292,-0.012,0.041,-0.536,0.536,0.28,0.261,0.199,3.571
1198,CC(=O)N1CCc2cc(S(=O)(=O)N[C@@H](Cc3ccccc3)C(=O)NC3CCCCCC3)ccc21,0.0239973073807027,0.345223132518103,0.031,0.191,0.161,-0.161,-0.298,-0.023,0.047,-0.556,0.556,0.276,0.263,0.222,3.628
1199,CC(=O)N1CCc2cc(S(=O)(=O)N[C@@H](Cc3ccccc3)C(=O)NC3CCCCCC3)ccc21,0.0322291555480494,0.3243127682001552,0.021,0.1669999999999999,0.146,-0.146,-0.286,-0.006,0.038,-0.535,0.535,0.281,0.253,0.187,3.565
1200,COc1ccc(F)cc1C(N)Cc1cccc(Br)c1,0.0386235376066133,0.3202703427608333,0.016,0.157,0.141,-0.141,-0.286,0.005,0.034,-0.613,0.613,0.291,0.269,0.173,3.44
1201,CC(C)CCc1ccc(C=CC(=O)c2cccc3c2OC(N)(c2nn[nH]n2)CO3)cc1,0.0184849090543544,0.3300456624595575,0.034,0.19,0.156,-0.156,-0.282,-0.03,0.048,-0.78,0.78,0.252,0.242,0.224,3.962
1202,CCCNC(C(C)C)C(C)c1ccccc1Br,0.0506038166358769,0.3171833996980782,0.01,0.143,0.133,-0.133,-0.289,0.022,0.029,-0.86,0.86,0.311,0.293,0.153,3.22
1203,COC(=O)c1[nH]c2ccc(Br)cc2c1NC(=O)C(C)[NH+]1CCN(c2cccc(C)c2C)CC1,0.0122375242844931,0.0342871175898861,0.0,0.011,0.011,-0.011,-0.033,0.011,0.001,-0.994,0.994,0.044,-0.147,0.011,22.868
1204,COC(=O)c1[nH]c2ccc(Br)cc2c1NC(=O)C(C)[NH+]1CCN(c2cccc(C)c2C)CC1,0.0083788454560493,0.0355365945438583,0.0,0.014,0.014,-0.014,-0.033,0.006,0.002,-0.967,0.967,0.039,-0.152,0.014,25.519
1205,COC(=O)c1[nH]c2ccc(Br)cc2c1NC(=O)C(C)[NH+]1CCN(c2cccc(C)c2C)CC1,0.0064311313807396,0.0504568193471743,0.002,0.024,0.022,-0.022,-0.045,0.001,0.005,-0.8809999999999999,0.8809999999999999,0.046,-0.157,0.027,21.526
1206,Cc1nc(CSc2cccc(CNC(C)(C)C)c2)cs1,0.0375578072635194,0.2953543023257392,0.014,0.143,0.129,-0.129,-0.265,0.0069999999999999,0.031,-0.932,0.932,0.272,0.243,0.156,3.679
1207,CCC1CCCN(c2ccc(F)cc2CNC2CC2)CC1,0.0455691594978121,0.2904298931542013,0.009,0.132,0.122,-0.122,-0.264,0.019,0.026,-0.7979999999999999,0.7979999999999999,0.283,0.246,0.141,3.533
1208,CCC1CCCN(c2ccc(F)cc2CNC2CC2)CC1,0.0459366527195687,0.2971917684345219,0.01,0.136,0.126,-0.126,-0.27,0.019,0.027,-0.8140000000000001,0.8140000000000001,0.288,0.259,0.146,3.468
1209,COc1ccc(CNC(=O)C[NH2+][C@@H](C)c2ccc(F)c(F)c2)cc1OC,0.0364920769204254,0.0144424836150324,0.011,0.0,-0.011,0.011,-0.013,0.035,0.001,-0.888,0.888,0.048,-0.2,0.011,20.652
