,smiles,anchor,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
0,O=C(O)Cc1cccc(Br)c1F,O9,0.033441883179846,0.3772317921330985,0.027,0.1989999999999999,0.172,-0.172,-0.331,-0.013,0.047,-0.49,0.49,0.318,0.31,0.226,3.148
1,O=C(O)CCN1CCC(Cc2cccc(Nc3ccccn3)n2)CC1,O22,0.0323026541924007,0.3082900637315697,0.018,0.156,0.138,-0.138,-0.273,-0.003,0.035,-0.605,0.605,0.27,0.263,0.175,3.702
2,O=C(O)c1ccc(-c2c[nH]nc2C2CCCN(CCOCc3ccccc3)C2)cc1,O28,0.020983862962299,0.3120017452713109,0.0279999999999999,0.174,0.145,-0.145,-0.2689999999999999,-0.022,0.043,-0.973,0.973,0.247,0.212,0.2019999999999999,4.041
3,O=C(O)C1(Cc2cccc(-c3ccc(F)cc3)c2)CCOCC1,O21,0.0317881636819415,0.3373587775725128,0.023,0.175,0.153,-0.153,-0.297,-0.009,0.04,-0.415,0.415,0.288,0.259,0.198,3.47
4,O=C(O)C1(Cc2ccc(-c3cccnc3)cc2F)CCOCC1,O20,0.0249527897572697,0.2843295056730426,0.021,0.15,0.13,-0.13,-0.249,-0.01,0.035,-0.944,0.944,0.239,0.1939999999999999,0.171,4.186
5,O=C(O)C1(Cc2ccc(-c3ccncc3)cc2F)CCOCC1,O20,0.0236298141589461,0.3613928342753912,0.033,0.2019999999999999,0.1689999999999999,-0.1689999999999999,-0.311,-0.026,0.05,-0.519,0.519,0.285,0.27,0.236,3.51
6,O=C(O)C1(Cc2ccc(-c3ccc(F)c(F)c3)cc2)CCOCC1,O21,0.0285174740083082,0.3422096880996993,0.026,0.183,0.157,-0.157,-0.299,-0.015,0.043,-0.405,0.405,0.284,0.259,0.209,3.52
7,O=C(O)C1(Cc2cccc(-c3ccc(F)c(F)c3)c2)CCOCC1,O21,0.02917896180747,0.3443043994637116,0.026,0.183,0.158,-0.158,-0.301,-0.0139999999999999,0.043,-0.4039999999999999,0.4039999999999999,0.287,0.268,0.209,3.484
8,O=C(O)C1CCN(C(=O)C2CCN(Cc3ccccn3)CC2)C1,O20,0.0414899847363144,0.2968242752127654,0.012,0.14,0.128,-0.128,-0.268,0.012,0.0289999999999999,-0.959,0.959,0.28,0.2339999999999999,0.151,3.57
9,O=C(O)C1CCN(C(=O)c2cccc(Cn3ccnc3)c2)C1,O19,0.0254305309455532,0.3501475416896408,0.03,0.192,0.162,-0.162,-0.303,-0.021,0.047,-0.972,0.972,0.282,0.255,0.222,3.544
10,O=C(O)Cn1cccc(C(=O)NC2CCCC2)c1=O,O16,0.01234777225102,0.3847286538569321,0.053,0.239,0.186,-0.186,-0.32,-0.052,0.065,-0.843,0.843,0.267,0.264,0.293,3.739
11,O=C(O)Cn1cc(C(=O)NC2CCCC2)ccc1=O,O16,0.0239973073807027,0.3338308426436499,0.0289999999999999,0.184,0.155,-0.155,-0.289,-0.021,0.045,-0.525,0.525,0.268,0.231,0.212,3.726
12,O=C(CCc1ccccc1)Nc1ccc(C(=O)O)cc1,O18,0.0237768114476487,0.360033109354892,0.033,0.201,0.168,-0.168,-0.31,-0.026,0.05,-0.511,0.511,0.284,0.271,0.2339999999999999,3.516
13,O=C(O)c1nc(-c2ccccc2)ncc1Br,O12,0.0083788454560493,0.3789590102753542,0.06,0.246,0.185,-0.185,-0.31,-0.06,0.069,-0.685,0.685,0.25,0.231,0.306,3.999
14,O=C(O)CCCC(CCC(=O)O)C(=O)O,O12,0.0631720848199509,0.3888813272627811,0.012,0.175,0.163,-0.163,-0.354,0.0289999999999999,0.035,-0.904,0.904,0.3829999999999999,0.371,0.186,2.613
15,O=C(O)CN(Cc1ccccc1)c1ccccc1,O17,0.0478476174727028,0.2963832833466575,0.009,0.133,0.124,-0.124,-0.27,0.021,0.027,-0.725,0.725,0.291,0.25,0.142,3.434
16,O=CC(=O)c1ccc(C(=O)O)cc1,O10,0.0039689267949707,0.4294525789447042,0.085,0.298,0.213,-0.213,-0.342,-0.084,0.088,-0.662,0.662,0.258,0.249,0.3829999999999999,3.877
17,O=C(O)c1nnc(O)nc1O,O7,0.0112085432635747,0.4289748377564207,0.064,0.273,0.209,-0.209,-0.354,-0.064,0.075,-0.68,0.68,0.289,0.2769999999999999,0.3379999999999999,3.455
18,O=C(O)c1ccccc1Cc1ccc(F)cc1,O15,0.0258347734894854,0.350331288300519,0.03,0.192,0.162,-0.162,-0.304,-0.021,0.046,-0.875,0.875,0.283,0.257,0.221,3.53
19,O=C(O)c1cc([N+](=O)[O-])cc2nc[nH]c12,O11,0.0101428129204807,0.4073294869949599,0.062,0.261,0.1989999999999999,-0.1989999999999999,-0.335,-0.062,0.072,-0.556,0.556,0.273,0.267,0.3229999999999999,3.664
20,O=C(O)Cc1c(C(=O)O)[nH]c2ccc([N+](=O)[O-])cc12,O15,0.0074601124016579,0.3898368096393482,0.065,0.256,0.191,-0.191,-0.317,-0.065,0.072,-0.623,0.623,0.253,0.233,0.321,3.959
21,O=C(O)c1ccc(-c2cccc(C3CCNCC3)n2)cc1,O19,0.0128622627614792,0.35235250102018,0.046,0.216,0.17,-0.17,-0.295,-0.045,0.0579999999999999,-0.994,0.994,0.25,0.239,0.262,4.001
22,O=C(O)c1[nH]c(=O)[nH]c(=O)c1Br,O8,0.0056961449372265,0.4014495954468551,0.073,0.27,0.198,-0.198,-0.324,-0.072,0.078,-0.603,0.603,0.251,0.221,0.3429999999999999,3.978
23,O=C(O)c1c2ccccc2nn1C1CCCc2ccccc21,O20,0.0157654592133559,0.3370280336729319,0.039,0.1989999999999999,0.161,-0.161,-0.285,-0.036,0.052,-0.4320000000000001,0.4320000000000001,0.249,0.231,0.238,4.011
24,O=C(O)CCc1cccc(C2CCCN(CC(=O)O)C2)n1,O18,0.0354263465773314,0.3249007573549657,0.018,0.163,0.145,-0.145,-0.288,-0.001,0.036,-0.923,0.923,0.287,0.248,0.182,3.479
25,O=C(O)c1cccc(CN2CCCCC2c2ccn[nH]2)c1,O19,0.021718849405812,0.3434591650536716,0.033,0.193,0.161,-0.161,-0.295,-0.026,0.048,-0.932,0.932,0.2689999999999999,0.263,0.226,3.719
26,O=C(O)COc1ccc(CN2CCC(c3ccn[nH]3)C2)cc1,O20,0.0426292137237597,0.3263339809198164,0.015,0.156,0.142,-0.142,-0.293,0.009,0.033,-0.952,0.952,0.302,0.296,0.171,3.307
27,O=C(O)c1ccccc1CN1CCC(c2ccn[nH]2)C1,O18,0.0170884348116795,0.3341248372210552,0.036,0.195,0.159,-0.159,-0.284,-0.033,0.05,-0.908,0.908,0.251,0.231,0.231,3.981
28,O=C(O)COc1ccccc1CN1CCCC1CCc1ccncc1,O23,0.0431437042342189,0.3077020745767592,0.012,0.145,0.132,-0.132,-0.278,0.013,0.03,-0.8740000000000001,0.8740000000000001,0.291,0.267,0.157,3.4410000000000003
29,O=C(O)COc1ccc(CN2CCCC2CCc2ccncc2)cc1,O23,0.0435479467781511,0.3138392113800936,0.013,0.148,0.135,-0.135,-0.283,0.013,0.031,-0.877,0.877,0.296,0.281,0.161,3.383
30,O=C(O)CCC(=O)N1CCCC1CCc1ccncc1,O17,0.0422984698241789,0.3620175727523773,0.019,0.179,0.16,-0.16,-0.3229999999999999,0.003,0.039,-0.921,0.921,0.326,0.313,0.198,3.068
31,O=C(O)COc1ccccc1CN1CCCC(Cc2ccccn2)C1,O23,0.0330743899580894,0.2690050383257945,0.013,0.131,0.118,-0.118,-0.241,0.005,0.0279999999999999,-0.835,0.835,0.245,0.206,0.144,4.0760000000000005
32,O=C(O)COc1ccccc1CN1CCOC(c2cnccn2)C1,O21,0.0201018792300832,0.3498535471122355,0.035,0.2,0.165,-0.165,-0.299,-0.03,0.051,-0.994,0.994,0.2689999999999999,0.245,0.236,3.72
33,O=C(O)COc1ccc(CN2CCOC(c3cnccn3)C2)cc1,O21,0.0293994577405239,0.335631559430257,0.024,0.177,0.153,-0.153,-0.294,-0.012,0.042,-0.983,0.983,0.282,0.271,0.2019999999999999,3.548
34,O=C(O)CN1CCOC(c2cnccn2)C1,O13,0.0245485472133375,0.3411807070787809,0.0289999999999999,0.188,0.158,-0.158,-0.296,-0.021,0.046,-0.926,0.926,0.2739999999999999,0.243,0.217,3.644
35,O=C(O)c1ccc(CN2CCC(c3cnccn3)CC2)cc1,O19,0.0230785743263113,0.3267382234637485,0.0289999999999999,0.18,0.152,-0.152,-0.283,-0.021,0.044,-0.964,0.964,0.262,0.221,0.209,3.82
36,O=C(O)c1cccc(CN2CCC(c3cnccn3)CC2)c1,O19,0.0244750485689862,0.329457673304747,0.0279999999999999,0.18,0.152,-0.152,-0.286,-0.019,0.044,-0.956,0.956,0.267,0.2289999999999999,0.208,3.749
37,O=C(O)COc1ccccc1CN1CCC(Cc2ccncc2)CC1,O23,0.0432907015229215,0.318910617840334,0.013,0.151,0.138,-0.138,-0.287,0.011,0.032,-0.975,0.975,0.299,0.291,0.165,3.349
38,O=C(O)CCc1cncc(C2CN(c3ccccc3)CCO2)n1,O20,0.0242178033137566,0.3218505636143864,0.027,0.175,0.149,-0.149,-0.28,-0.018,0.042,-0.972,0.972,0.261,0.217,0.2019999999999999,3.826
39,O=C(O)C1CN(c2nccs2)CCO1,O12,0.0489133478157968,0.3105317723842846,0.01,0.141,0.131,-0.131,-0.282,0.021,0.0279999999999999,-0.4589999999999999,0.4589999999999999,0.303,0.2339999999999999,0.151,3.301
40,O=C(O)CCC(=O)N1CCC(O)(CN2CCc3ccccc3C2)C1,O22,0.0518165442676735,0.3266647248193972,0.01,0.148,0.1369999999999999,-0.1369999999999999,-0.297,0.022,0.03,-0.887,0.887,0.319,0.307,0.158,3.132
41,O=C(O)c1ccccc1CN1CCCC(c2cnccn2)C1,O19,0.0246587951798645,0.3185063752964018,0.026,0.173,0.147,-0.147,-0.2769999999999999,-0.017,0.0409999999999999,-0.915,0.915,0.26,0.213,0.198,3.843
42,O=C(O)CCc1cccc(C2CCCN2Cc2ccc(F)c(F)c2)n1,O21,0.037704804552222,0.3370280336729319,0.019,0.168,0.15,-0.15,-0.3,0.0,0.037,-0.877,0.877,0.3,0.298,0.187,3.332
43,O=C(O)CCc1cccc(C2CCCN(Cc3cccc(F)c3)C2)n1,O22,0.0353528479329801,0.344047154208482,0.021,0.175,0.154,-0.154,-0.304,-0.004,0.04,-0.974,0.974,0.3,0.288,0.196,3.334
44,O=C(O)CCc1cccc(C2CCCN2C(=O)c2cnccn2)n1,O19,0.0185216583765301,0.3663539927691046,0.04,0.214,0.174,-0.174,-0.311,-0.037,0.055,-0.857,0.857,0.275,0.268,0.255,3.639
45,O=C(O)CCc1cccc(C2CCCN2C(=O)c2ccccn2)n1,O20,0.0210941109288259,0.3681914588778873,0.037,0.211,0.174,-0.174,-0.315,-0.032,0.053,-0.79,0.79,0.283,0.2739999999999999,0.248,3.536
46,O=C(O)CCc1cccc(C2CCCN(Cc3cccnc3)C2)n1,O21,0.0369330687865332,0.3146109471457824,0.016,0.155,0.139,-0.139,-0.281,0.003,0.034,-0.916,0.916,0.284,0.243,0.171,3.527
47,O=C(O)CCc1cccc(C2CCCN(c3cnccn3)C2)n1,O19,0.028113231464376,0.3156766774888763,0.022,0.166,0.144,-0.144,-0.2769999999999999,-0.011,0.039,-0.746,0.746,0.266,0.22,0.1889999999999999,3.758
48,O=C(O)c1ccc(CN2CCCCC2c2ccn[nH]2)cc1,O19,0.0291054631631187,0.3322506217900968,0.024,0.176,0.152,-0.152,-0.291,-0.012,0.0409999999999999,-0.899,0.899,0.2789999999999999,0.272,0.2,3.584
49,O=C(O)/C(S)=C/c1ccco1,O10,0.0114290391966287,0.3298986651708549,0.044,0.203,0.159,-0.159,-0.275,-0.043,0.055,-0.4920000000000001,0.4920000000000001,0.2319999999999999,0.1669999999999999,0.248,4.31
50,O=C(O)c1ccc(Nc2ccccc2)cc1,O15,0.0237400621254731,0.3103480257734064,0.025,0.1689999999999999,0.143,-0.143,-0.27,-0.017,0.0409999999999999,-0.595,0.595,0.253,0.1889999999999999,0.1939999999999999,3.955
51,O=C(NC(Cc1c[nH]cn1)C(=O)O)c1ccccc1,O16,0.0290319645187674,0.3333898507775421,0.024,0.176,0.152,-0.152,-0.292,-0.012,0.0409999999999999,-0.942,0.942,0.28,0.243,0.201,3.577
52,O=C(O)C(O)(c1ccccc1)c1cccs1,O15,0.037594556585695,0.3496698005013573,0.02,0.176,0.156,-0.156,-0.31,-0.002,0.039,-0.462,0.462,0.308,0.294,0.196,3.244
53,N#CCCCCC(=O)O,O6,0.0719184234977568,0.3941364803338997,0.009,0.17,0.161,-0.161,-0.362,0.04,0.032,-0.75,0.75,0.401,0.357,0.18,2.491
54,N#CCC(NC(=O)OCc1ccccc1)C(=O)O,O14,0.0495748356149585,0.3623850659741339,0.015,0.171,0.156,-0.156,-0.326,0.0139999999999999,0.036,-0.381,0.381,0.34,0.332,0.186,2.9410000000000003
55,C#CCNCC(=O)O,O5,0.0646420577069771,0.3490450620243711,0.008,0.15,0.142,-0.142,-0.321,0.036,0.0279999999999999,-0.8220000000000001,0.8220000000000001,0.357,0.3229999999999999,0.158,2.801
56,O=C(O)C(Cl)CCCCl,O6,0.0672145102592729,0.3985463989949784,0.011,0.177,0.166,-0.166,-0.364,0.033,0.035,-0.752,0.752,0.397,0.389,0.188,2.522
57,O=C(O)C1=Cc2ccccc21,O10,0.0044099186610786,0.3490450620243711,0.065,0.237,0.172,-0.172,-0.28,-0.064,0.069,-0.514,0.514,0.216,0.156,0.302,4.629
58,O=C(O)c1cc(Br)cc(O)c1O,O10,0.0171619334560308,0.3441574021750089,0.038,0.2019999999999999,0.1639999999999999,-0.1639999999999999,-0.292,-0.035,0.052,-0.623,0.623,0.258,0.218,0.24,3.883
59,O=C(O)CC1CCc2ccccc2C1,O13,0.0528455252885918,0.3405927179239705,0.011,0.155,0.144,-0.144,-0.309,0.022,0.031,-0.574,0.574,0.331,0.324,0.166,3.022
60,O=C(O)C1C2(CCCC2)OC12CCCC2,O14,0.0634293300751805,0.3400782274135113,0.008,0.146,0.138,-0.138,-0.313,0.036,0.027,-0.9,0.9,0.349,0.307,0.153,2.869
61,O=C(O)C1(Br)CCCC1,O7,0.041747229991544,0.3895428150619429,0.023,0.1969999999999999,0.174,-0.174,-0.346,-0.002,0.044,-0.67,0.67,0.3429999999999999,0.317,0.2189999999999999,2.914
62,O=C(O)c1cncc(-c2cccnc2)c1,O12,0.0163534483681664,0.3906085454050369,0.048,0.235,0.187,-0.187,-0.3289999999999999,-0.045,0.062,-0.599,0.599,0.283,0.265,0.283,3.529
63,O=C(O)c1ccc(-c2cccnc2)nc1,O12,0.0108043007196425,0.3832219316477303,0.0559999999999999,0.242,0.186,-0.186,-0.317,-0.0559999999999999,0.066,-0.495,0.495,0.261,0.245,0.298,3.827
64,O=C(NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O)c1ccccc1,O23,0.0188891515982866,0.3789222609531786,0.042,0.222,0.18,-0.18,-0.322,-0.038,0.057,-0.966,0.966,0.284,0.28,0.264,3.527
65,O=C(O)C1OC1c1ccccc1,O11,0.0389542815061942,0.371535647195872,0.022,0.188,0.166,-0.166,-0.3289999999999999,-0.004,0.042,-0.3979999999999999,0.3979999999999999,0.326,0.315,0.211,3.072
66,O=C(O)C(=O)Cc1ccc(Br)cc1[N+](=O)[O-],O11,0.0048876598493621,0.4144956048192127,0.078,0.283,0.205,-0.205,-0.332,-0.077,0.0819999999999999,-0.726,0.726,0.255,0.241,0.361,3.925
67,O=C(O)c1ccc(CSCc2ccco2)o1,O15,0.0246587951798645,0.3419891921666453,0.0289999999999999,0.188,0.159,-0.159,-0.296,-0.021,0.046,-0.857,0.857,0.275,0.268,0.217,3.634
68,O=C(O)C(=O)CCl,O4,0.0173456800669091,0.4191627687355208,0.051,0.252,0.201,-0.201,-0.353,-0.049,0.066,-0.6659999999999999,0.6659999999999999,0.304,0.266,0.304,3.294
69,O=C(O)c1cccc(C(=O)O)c1O,O11,0.0130460093723575,0.3880360928527409,0.053,0.24,0.188,-0.188,-0.3229999999999999,-0.052,0.065,-0.604,0.604,0.272,0.235,0.293,3.681
70,O=C(O)C(=O)c1ccc[nH]1,O8,0.0098855676652511,0.3690734426101031,0.055,0.235,0.18,-0.18,-0.305,-0.055,0.065,-0.672,0.672,0.25,0.215,0.289,4.002
71,C=CCc1ccc(C(=O)O)[nH]1,O10,0.0373005620082898,0.3348598236645683,0.019,0.1669999999999999,0.149,-0.149,-0.298,0.0,0.037,-0.5760000000000001,0.5760000000000001,0.298,0.257,0.186,3.358
72,O=C(O)C(Cl)(c1ccccc1)c1ccccc1,O15,0.0357203411547366,0.3501842910118164,0.022,0.179,0.157,-0.157,-0.31,-0.005,0.0409999999999999,-0.485,0.485,0.305,0.291,0.2,3.281
73,O=C(O)C(Br)C(=O)O,O4,0.0414532354141388,0.4045365385096101,0.025,0.206,0.182,-0.182,-0.358,-0.005,0.047,-0.8270000000000001,0.8270000000000001,0.352,0.348,0.231,2.837
74,N#CCCN(CCC#N)CC(=O)O,O8,0.0569247000500895,0.3674564724343743,0.012,0.1669999999999999,0.155,-0.155,-0.3339999999999999,0.023,0.034,-0.916,0.916,0.357,0.306,0.18,2.803
75,O=C(O)c1cc2cc(I)ccc2[nH]1,O11,0.015544963280302,0.3530139888193418,0.042,0.211,0.1689999999999999,-0.1689999999999999,-0.298,-0.04,0.055,-0.583,0.583,0.258,0.25,0.253,3.871
76,O=C(O)CC(c1ccccc1)c1ccc(Br)cc1,O16,0.0432907015229215,0.3355580607859057,0.015,0.161,0.146,-0.146,-0.301,0.009,0.034,-0.511,0.511,0.31,0.288,0.177,3.2260000000000004
77,O=CNC(CSSCC(NC=O)C(=O)O)C(=O)O,O14,0.0219760946610416,0.3900573055724021,0.04,0.2239999999999999,0.184,-0.184,-0.3329999999999999,-0.035,0.057,-0.863,0.863,0.299,0.295,0.264,3.349
78,O=C(O)C(Cc1ccccc1)NCc1ccccc1,O18,0.0510448085019847,0.3344923304428117,0.011,0.153,0.142,-0.142,-0.303,0.02,0.031,-0.758,0.758,0.3229999999999999,0.313,0.165,3.092
79,O=C(O)C1CCCN1C(=O)c1cc2ccccc2o1,O17,0.0219760946610416,0.3460316176059674,0.033,0.195,0.162,-0.162,-0.298,-0.026,0.048,-0.379,0.379,0.271,0.253,0.2269999999999999,3.687
80,O=C(O)CCCNC(=O)c1cc2ccccc2o1,O16,0.0236665634811218,0.3505885335557486,0.032,0.195,0.163,-0.163,-0.303,-0.024,0.048,-0.3879999999999999,0.3879999999999999,0.278,0.262,0.2269999999999999,3.594
81,O=C(NC(Cc1ccccc1)C(=O)O)c1cc2ccccc2o1,O21,0.0214983534727581,0.3488613154134929,0.034,0.1969999999999999,0.1639999999999999,-0.1639999999999999,-0.3,-0.0279999999999999,0.049,-0.39,0.39,0.272,0.254,0.231,3.68
82,O=C(O)COc1ccc(=O)[nH]n1,O9,0.0111350446192234,0.3833689289364329,0.055,0.241,0.186,-0.186,-0.317,-0.055,0.066,-0.5820000000000001,0.5820000000000001,0.263,0.2289999999999999,0.297,3.808
83,C=CCN(CC(=O)O)S(=O)(=O)c1ccccc1,O14,0.0242178033137566,0.4018538379907873,0.039,0.228,0.1889999999999999,-0.1889999999999999,-0.345,-0.033,0.057,-0.928,0.928,0.312,0.307,0.268,3.208
84,N#CCCN1CCCC1C(=O)O,O9,0.0533967651212267,0.3433489170871446,0.011,0.156,0.145,-0.145,-0.312,0.022,0.031,-0.884,0.884,0.3339999999999999,0.271,0.168,2.9960000000000004
85,O=C(O)c1nc(-c2ccccc2)nc2ccccc12,O16,0.0054756490041725,0.3713519005849937,0.066,0.249,0.183,-0.183,-0.3,-0.066,0.072,-0.581,0.581,0.2339999999999999,0.21,0.316,4.2810000000000015
86,O=C(O)c1cc(C(=O)O)c(Br)cc1Br,O10,0.0115392871631556,0.4375006805011726,0.065,0.278,0.213,-0.213,-0.361,-0.065,0.077,-0.429,0.429,0.296,0.291,0.344,3.383
87,O=C(O)Cn1c(=O)[nH]cc(Br)c1=O,O9,0.0177866719330169,0.3928135047355762,0.046,0.2339999999999999,0.188,-0.188,-0.332,-0.043,0.061,-0.583,0.583,0.289,0.2739999999999999,0.28,3.462
88,O=C(O)CCCNC(=O)Nc1cccc2ccccc12,O18,0.0228213290710817,0.3107522683173386,0.026,0.17,0.144,-0.144,-0.2689999999999999,-0.018,0.0409999999999999,-0.43,0.43,0.251,0.203,0.1969999999999999,3.985
89,O=C(O)c1cc(O)nc(Cc2ccccc2)n1,O14,0.0146997288702619,0.3737406065264113,0.047,0.2269999999999999,0.18,-0.18,-0.314,-0.045,0.06,-0.947,0.947,0.268,0.262,0.2739999999999999,3.726
90,O=C(O)Cc1cnc(Cc2ccccc2)nc1O,O15,0.0313471718158337,0.3536019779741523,0.025,0.186,0.161,-0.161,-0.31,-0.012,0.044,-0.872,0.872,0.298,0.29,0.212,3.358
91,O=C(O)C(F)(F)Sc1ccccc1,O10,0.0366758235313036,0.3384980065599581,0.019,0.17,0.151,-0.151,-0.3,-0.001,0.038,-0.841,0.841,0.299,0.263,0.19,3.344
92,O=C(O)C(F)(F)S(=O)(=O)c1ccccc1,O10,0.0183379117656518,0.4344872360827689,0.053,0.261,0.208,-0.208,-0.366,-0.05,0.069,-0.63,0.63,0.316,0.309,0.314,3.168
93,O=C(O)CCc1ccc2c(c1)CCCC2,O14,0.0502363234141203,0.3340513385767039,0.012,0.154,0.142,-0.142,-0.303,0.019,0.031,-0.55,0.55,0.322,0.308,0.165,3.108
94,O=C(O)CCc1c[nH]c2ccc([N+](=O)[O-])cc12,O14,0.0117230337740339,0.358967379011798,0.049,0.223,0.174,-0.174,-0.299,-0.049,0.06,-0.72,0.72,0.25,0.2239999999999999,0.272,3.997
95,O=C(O)c1[nH]c2ccccc2c1[N+](=O)[O-],O12,0.0021314606861879,0.4108574219238228,0.089,0.294,0.204,-0.204,-0.322,-0.086,0.088,-0.677,0.677,0.236,0.2239999999999999,0.3829999999999999,4.235
96,O=C(O)CCCCc1c[nH]c2ccccc12,O15,0.0409387449036796,0.3026674174386945,0.013,0.144,0.131,-0.131,-0.272,0.011,0.03,-0.462,0.462,0.283,0.261,0.156,3.532
97,O=C(O)C(=O)Cc1cc(Cl)ccc1[N+](=O)[O-],O11,0.0055858969706995,0.4215514746769384,0.077,0.285,0.208,-0.208,-0.3389999999999999,-0.077,0.083,-0.875,0.875,0.262,0.253,0.363,3.816
98,O=C(O)c1ccccc1CN1CCCCC1c1ccn[nH]1,O19,0.0290687138409431,0.3454068791289812,0.026,0.184,0.158,-0.158,-0.302,-0.0139999999999999,0.044,-0.949,0.949,0.287,0.282,0.21,3.479
99,O=C(O)CSc1nnc(-c2cccs2)n1-c1ccccc1,O18,0.0203591244853128,0.3237615283675205,0.031,0.183,0.152,-0.152,-0.278,-0.025,0.045,-0.5670000000000001,0.5670000000000001,0.253,0.209,0.213,3.948
100,O=C(O)C12CC3CC(CC(C3)C1)C2,O12,0.0828329721839263,0.3613928342753912,0.004,0.143,0.139,-0.139,-0.337,0.0579999999999999,0.025,-0.8340000000000001,0.8340000000000001,0.395,0.38,0.148,2.531
101,C=CC(=O)O,O4,0.0329273926693868,0.4171783053380354,0.033,0.225,0.192,-0.192,-0.363,-0.021,0.054,-0.8140000000000001,0.8140000000000001,0.342,0.336,0.258,2.922
102,O=C(O)CC1=CC(=O)OC1=O,O7,0.0017639674644314,0.4677453726517367,0.106,0.3389999999999999,0.233,-0.233,-0.365,-0.1009999999999999,0.103,-0.835,0.835,0.263,0.222,0.445,3.795
103,O=C(O)/C=C(/CC(=O)O)C(=O)O,O9,0.0053654010376456,0.4307388052208522,0.08,0.293,0.213,-0.213,-0.346,-0.08,0.085,-0.809,0.809,0.266,0.225,0.373,3.758
104,O=C(O)C#CC(=O)O,O4,0.0129725107280062,0.4716775501245318,0.069,0.299,0.2289999999999999,-0.2289999999999999,-0.39,-0.069,0.0819999999999999,-0.738,0.738,0.321,0.304,0.368,3.12
105,O=C(O)c1c2ccccc2cc2ccccc12,O16,0.0053286517154699,0.3310746434804758,0.0579999999999999,0.221,0.163,-0.163,-0.268,-0.0579999999999999,0.063,-0.321,0.321,0.21,0.161,0.2789999999999999,4.756
106,O=C(O)CI,O3,0.0266800078995255,0.4077704788610677,0.038,0.228,0.191,-0.191,-0.351,-0.03,0.0559999999999999,-0.715,0.715,0.322,0.317,0.266,3.11
107,O=C(O)CC(=O)CC(=O)O,O7,0.0452016662760556,0.3897265616728212,0.02,0.193,0.172,-0.172,-0.347,0.003,0.042,-0.711,0.711,0.35,0.3279999999999999,0.213,2.855
108,O=C(O)CC12CC3CC(CC(C3)C1)C2,O13,0.0763283421588354,0.3656925049699428,0.006,0.151,0.145,-0.145,-0.3389999999999999,0.049,0.027,-0.743,0.743,0.3879999999999999,0.38,0.156,2.577
109,O=C(O)C(Cl)Br,O3,0.0347648587781696,0.4258143960493144,0.033,0.228,0.196,-0.196,-0.371,-0.02,0.054,-0.754,0.754,0.352,0.335,0.261,2.841
110,O=C(O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)c1ccccc1,O27,0.0304284387614423,0.3201233454721306,0.021,0.166,0.145,-0.145,-0.282,-0.008,0.038,-0.4029999999999999,0.4029999999999999,0.2739999999999999,0.242,0.187,3.65
111,O=C(O)COc1ccc(C=NNC(=O)c2cccnc2)cc1,O18,0.014479232937208,0.3364032951959458,0.04,0.201,0.161,-0.161,-0.284,-0.038,0.053,-0.616,0.616,0.245,0.191,0.242,4.077
112,O=C(O)COc1ccc(C=NNC(=O)c2ccncc2)cc1,O18,0.0106573034309399,0.3572034115473665,0.051,0.2239999999999999,0.173,-0.173,-0.296,-0.05,0.061,-0.602,0.602,0.246,0.196,0.275,4.072
113,O=C(O)COc1ccc(/C=N/NC(=O)COc2ccc(Cl)cc2)cc1,O21,0.0203591244853128,0.3556966893381647,0.036,0.204,0.168,-0.168,-0.304,-0.031,0.051,-0.8859999999999999,0.8859999999999999,0.273,0.265,0.24,3.661
114,O=C(O)COc1ccc(C=NNC(=O)c2cc3ccccc3o2)cc1,O22,0.0126050175062496,0.3341615865432309,0.043,0.204,0.161,-0.161,-0.28,-0.042,0.054,-0.636,0.636,0.238,0.213,0.247,4.197
115,O=C(O)COc1ccc(/C=N/NC(=O)c2cccc(Cl)c2)cc1,O19,0.0130460093723575,0.3508090294888025,0.045,0.214,0.1689999999999999,-0.1689999999999999,-0.294,-0.044,0.057,-0.565,0.565,0.25,0.215,0.26,4.007
116,O=C(O)c1ccc(-c2c3nc(c(-c4ccc(C(=O)O)cc4)c4ccc([nH]4)c(-c4ccc(C(=O)O)cc4)c4nc(c(-c5ccc(C(=O)O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,O54,0.0012127276317966,0.3621278207189042,0.122,0.303,0.18,-0.18,-0.261,-0.1,0.1009999999999999,-0.391,0.391,0.161,0.149,0.425,6.224
117,O=C(CCl)Nc1cc(Cl)ccc1C(=O)O,O11,0.0171619334560308,0.3731893666937764,0.043,0.221,0.178,-0.178,-0.316,-0.04,0.0579999999999999,-0.5529999999999999,0.5529999999999999,0.275,0.258,0.265,3.633
