,smiles,anchor,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
3494,N#CC(C#N)=Cc1cccn1-c1ccc(C(=O)O)cc1,O15,0.001800716786607,0.3996121293380724,0.089,0.287,0.1989999999999999,-0.1989999999999999,-0.313,-0.085,0.087,-0.505,0.505,0.228,0.1969999999999999,0.376,4.393
3495,O=C1Nc2ccc(S(=O)(=O)N3CCCC3C(=O)O)c3cccc1c23,O20,0.0067251259581448,0.3500005444009381,0.0579999999999999,0.23,0.172,-0.172,-0.285,-0.0579999999999999,0.065,-0.721,0.721,0.2269999999999999,0.22,0.288,4.4060000000000015
3496,O=C(O)c1ccc(S(=O)(=O)Nc2cc3sc(=O)oc3c3ccccc23)cc1,O23,0.0069823712133744,0.3593348722335545,0.06,0.236,0.176,-0.176,-0.293,-0.06,0.067,-0.961,0.961,0.233,0.198,0.295,4.2860000000000005
3497,O=C(O)c1ccc(S(=O)(=O)Nc2ccc3oc(=O)sc3c2)cc1,O19,0.0074601124016579,0.3713519005849937,0.061,0.243,0.182,-0.182,-0.303,-0.061,0.068,-0.967,0.967,0.242,0.213,0.304,4.131
3498,O=C(O)c1ccc(S(=O)(=O)Nc2ccc3oc4c(c3c2)C(=O)CCC4)cc1,O23,0.0097385703765485,0.3636345429281061,0.054,0.231,0.177,-0.177,-0.3,-0.054,0.064,-0.97,0.97,0.246,0.24,0.285,4.062
3499,O=C(O)CSc1cc(NS(=O)(=O)c2cccc3cccnc23)c2ccccc2c1O,O26,0.0066148779916178,0.32317353921271,0.053,0.211,0.158,-0.158,-0.264,-0.053,0.059,-0.987,0.987,0.211,0.178,0.264,4.737
3500,O=C(O)CCNS(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1,O15,0.0277824875647951,0.3467298547273049,0.027,0.187,0.159,-0.159,-0.302,-0.017,0.045,-0.585,0.585,0.285,0.253,0.214,3.503
3501,O=C(O)CCCNS(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1,O16,0.0275987409539168,0.3469136013381831,0.027,0.187,0.16,-0.16,-0.302,-0.017,0.045,-0.585,0.585,0.285,0.247,0.214,3.508
3502,O=C(O)c1ccccc1NS(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1,O19,0.0148834754811402,0.3483835742252093,0.042,0.209,0.1669999999999999,-0.1669999999999999,-0.294,-0.04,0.055,-0.894,0.894,0.254,0.223,0.251,3.943
3503,O=C(O)CCCN1C(=O)CCC1=O,O10,0.0505303179915256,0.3897265616728212,0.018,0.187,0.17,-0.17,-0.35,0.011,0.04,-0.866,0.866,0.36,0.359,0.205,2.775
3504,O=C(O)CCNc1c2ccccc2nc2ccccc12,O18,0.0068353739246718,0.3219240622587377,0.052,0.209,0.158,-0.158,-0.263,-0.052,0.059,-0.377,0.377,0.211,0.159,0.261,4.7330000000000005
3505,O=C(O)C1CC(c2ccc(Cl)cc2)=NO1,O12,0.0164636963346934,0.3665744887021585,0.043,0.218,0.175,-0.175,-0.31,-0.04,0.057,-0.447,0.447,0.2689999999999999,0.226,0.261,3.715
3506,O=C(O)C1CC(c2ccc(Cl)c(Cl)c2)=NO1,O12,0.0138544944602219,0.3748430861916809,0.049,0.2289999999999999,0.18,-0.18,-0.314,-0.047,0.061,-0.455,0.455,0.266,0.236,0.278,3.754
3507,O=C(Nc1ccccc1C(=O)O)c1ccc(Br)o1,O15,0.0158389578577073,0.3502577896561678,0.0409999999999999,0.208,0.1669999999999999,-0.1669999999999999,-0.296,-0.038,0.054,-0.624,0.624,0.258,0.24,0.249,3.883
3508,O=C(O)COc1ccc(NC(=O)c2ccc(NC(=O)c3ccco3)cc2)cc1,O25,0.0146262302259106,0.3371750309616346,0.04,0.2019999999999999,0.161,-0.161,-0.284,-0.038,0.053,-0.826,0.826,0.246,0.2239999999999999,0.242,4.063
3509,O=C(O)CSC1=NC2CCCCC2N1,O12,0.0623268504099108,0.3350435702754465,0.0069999999999999,0.144,0.136,-0.136,-0.308,0.035,0.027,-0.8109999999999999,0.8109999999999999,0.3429999999999999,0.32,0.151,2.914
3510,O=C(O)c1ccccc1NS(=O)(=O)c1ccc2[nH]c(=O)oc2c1,O19,0.0194036421087458,0.3619808234302017,0.038,0.21,0.171,-0.171,-0.309,-0.034,0.053,-0.687,0.687,0.2739999999999999,0.257,0.248,3.643
3511,O=C(O)CCC(=O)N1CCNC(=O)C1,O11,0.066038531949652,0.3409234618235513,0.0069999999999999,0.144,0.1369999999999999,-0.1369999999999999,-0.314,0.039,0.027,-0.769,0.769,0.354,0.335,0.151,2.829
3512,O=C(O)C1CSC(c2ccsc2)N1,O12,0.0431437042342189,0.3180286341081183,0.013,0.151,0.1369999999999999,-0.1369999999999999,-0.286,0.011,0.032,-0.7490000000000001,0.7490000000000001,0.298,0.272,0.1639999999999999,3.359
3513,O=C(O)CCCc1nc2cc([N+](=O)[O-])ccc2[nH]1,O14,0.014479232937208,0.3792897541749352,0.049,0.231,0.182,-0.182,-0.318,-0.047,0.061,-0.6609999999999999,0.6609999999999999,0.271,0.26,0.28,3.691
3514,O=C(O)CN1C(=O)CC(c2ccccc2)CC1=O,O15,0.0298037002844562,0.3847286538569321,0.031,0.209,0.177,-0.177,-0.335,-0.02,0.05,-0.765,0.765,0.314,0.307,0.24,3.182
3515,O=C(O)Cn1c(S)nc2ccccc2c1=O,O13,0.0163166990459908,0.3086943062755019,0.033,0.179,0.146,-0.146,-0.263,-0.0289999999999999,0.046,-0.938,0.938,0.233,0.187,0.212,4.284
3516,O=C(O)COc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,O22,0.0026827005188228,0.344267650141536,0.071,0.241,0.171,-0.171,-0.273,-0.069,0.072,-0.894,0.894,0.204,0.152,0.312,4.908
3517,O=C(O)c1ccc(CN2CCCC2)cc1,O14,0.025026288401621,0.3421729387775236,0.0289999999999999,0.188,0.159,-0.159,-0.297,-0.021,0.046,-0.929,0.929,0.276,0.243,0.217,3.622
3518,O=C(O)CCCC(=O)Nc1nc(-c2cccc3ccccc23)cs1,O21,0.0190361488869892,0.3109360149282169,0.03,0.176,0.146,-0.146,-0.267,-0.025,0.044,-0.36,0.36,0.242,0.2019999999999999,0.206,4.134
