,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
1512,CCS(=O)(=O)N1CCN(C(=O)C(c2ccc(Cn3c4ccccc4c4c(C)c(CCC(=O)O)c(C)nc43)cc2)C2CCOCC2)CC1,0.0297302016401048,0.3025939187943432,0.019,0.156,0.136,-0.136,-0.267,-0.006,0.036,-0.588,0.588,0.261,0.251,0.175,3.832
1513,CCCCCN(CC(=O)O)C(C)CCC,0.0701544560333253,0.3034759025265589,0.003,0.12,0.1169999999999999,-0.1169999999999999,-0.283,0.05,0.02,-0.913,0.913,0.3329999999999999,0.264,0.123,3.005
1514,Cc1ccn(CC2(CC(=O)O)CC2)c(=O)c1,0.0314941691045363,0.3184696259742262,0.02,0.1639999999999999,0.143,-0.143,-0.281,-0.006,0.037,-0.493,0.493,0.275,0.228,0.184,3.634
1515,Cc1ccn(CC2(CC(=O)O)CC2)c(=O)c1,0.0357203411547366,0.308363562375921,0.016,0.153,0.136,-0.136,-0.275,0.002,0.034,-0.513,0.513,0.2769999999999999,0.23,0.1689999999999999,3.61
1516,O=C(C=CC(=O)OCC1c2ccccc2-c2ccccc21)N[C@@H](CO)C(=O)O,0.0146262302259106,0.3433489170871446,0.042,0.206,0.1639999999999999,-0.1639999999999999,-0.289,-0.039,0.054,-0.994,0.994,0.25,0.218,0.247,4.002
1517,O=C(C=CC(=O)OCC1c2ccccc2-c2ccccc21)N[C@@H](CO)C(=O)O,0.0205061217740154,0.3237982776896961,0.031,0.182,0.152,-0.152,-0.278,-0.025,0.045,-0.985,0.985,0.254,0.223,0.213,3.942
1518,CCOC(=O)CCC(=O)NC(C)CC(=O)O,0.0729106551964995,0.3579016486687039,0.006,0.149,0.142,-0.142,-0.331,0.046,0.027,-0.911,0.911,0.377,0.37,0.155,2.653
1519,CCOC(=O)CCC(=O)NC(C)CC(=O)O,0.0727636579077968,0.3580486459574066,0.006,0.149,0.143,-0.143,-0.331,0.046,0.027,-0.911,0.911,0.377,0.37,0.155,2.654
1520,COCC(=O)OC1(CCN(C)CCCc2nc3ccc(C(=O)O)cc3[nH]2)CCc2cc(F)ccc2C1C(C)C,0.0233725689037165,0.326370730241992,0.0279999999999999,0.18,0.152,-0.152,-0.283,-0.02,0.044,-0.928,0.928,0.262,0.247,0.208,3.814
1521,COCC(=O)OC1(CCN(C)CCCc2nc3ccc(C(=O)O)cc3[nH]2)CCc2cc(F)ccc2C1C(C)C,0.0256142775564315,0.3353008155306761,0.027,0.182,0.155,-0.155,-0.291,-0.018,0.044,-0.943,0.943,0.273,0.265,0.21,3.661
1522,CCn1cc(C(=O)O)c(=O)c2cc(F)c(O)cc21,0.0148467261589646,0.3633037990285252,0.045,0.2189999999999999,0.174,-0.174,-0.306,-0.043,0.0579999999999999,-0.588,0.588,0.263,0.238,0.264,3.809
1523,CCn1cc(C(=O)O)c(=O)c2cc(F)c(O)cc21,0.0148467261589646,0.3631935510619982,0.045,0.2189999999999999,0.174,-0.174,-0.305,-0.043,0.0579999999999999,-0.5870000000000001,0.5870000000000001,0.262,0.238,0.264,3.811
1524,Cn1c(CSc2ccc(C(=O)O)o2)cc(=O)n(C)c1=O,0.0204693724518398,0.3521320050871261,0.035,0.201,0.166,-0.166,-0.301,-0.03,0.051,-0.616,0.616,0.271,0.259,0.237,3.687
1525,Cn1c(CSc2ccc(C(=O)O)o2)cc(=O)n(C)c1=O,0.0204693724518398,0.3523157516980044,0.035,0.201,0.166,-0.166,-0.302,-0.03,0.051,-0.617,0.617,0.271,0.259,0.237,3.686
1526,CCCCCN(CC(=O)O)C(C)CCC,0.0676555021253808,0.3085840583089749,0.004,0.125,0.12,-0.12,-0.287,0.046,0.022,-0.894,0.894,0.3329999999999999,0.268,0.129,3.007
1527,CN(CC(F)F)C(=O)N1CCSCC1C(=O)O,0.0553077298743607,0.3253784985432492,0.009,0.144,0.135,-0.135,-0.297,0.027,0.0279999999999999,-0.895,0.895,0.324,0.3,0.153,3.082
1528,C[C@@H](C(=O)O)N(c1ccccc1)c1ccc2ccccc2c1,0.0213513561840555,0.2970080218236437,0.026,0.163,0.138,-0.138,-0.257,-0.018,0.04,-0.6709999999999999,0.6709999999999999,0.239,0.206,0.189,4.188
1529,O=C(NCCCC(F)(F)F)NCc1ccc(C(=O)O)nc1,0.0227478304267304,0.3808699750284884,0.038,0.217,0.179,-0.179,-0.326,-0.032,0.054,-0.778,0.778,0.295,0.28,0.254,3.391
1530,O=C(NCCCC(F)(F)F)NCc1ccc(C(=O)O)nc1,0.02300507568196,0.3842509126686486,0.038,0.219,0.181,-0.181,-0.329,-0.032,0.055,-0.705,0.705,0.298,0.287,0.256,3.36
1531,O=C(NCCCC(F)(F)F)NCc1ccc(C(=O)O)nc1,0.0226008331380278,0.3810537216393665,0.038,0.217,0.179,-0.179,-0.327,-0.032,0.055,-0.778,0.778,0.295,0.279,0.255,3.394
1532,CCCCOc1c(C)c(C(=O)O)nn1-c1ccc(SCC(=O)C(C)(C)COC(C)(C)C)cc1,0.0245117978911618,0.3157501761332277,0.025,0.171,0.146,-0.146,-0.275,-0.017,0.041,-0.625,0.625,0.258,0.221,0.197,3.874
1533,CCCCOc1c(C)c(C(=O)O)nn1-c1ccc(SCC(=O)C(C)(C)COC(C)(C)C)cc1,0.0247322938242158,0.3460683669281429,0.03,0.191,0.161,-0.161,-0.3,-0.022,0.046,-0.5720000000000001,0.5720000000000001,0.278,0.271,0.221,3.599
1534,CN(CCCC1(c2ccc(Cl)cc2)OCc2cc(-c3cccc(C(F)(F)F)c3)ccc21)CC(=O)O,0.0264595119664715,0.3414379523340105,0.028,0.185,0.157,-0.157,-0.297,-0.018,0.044,-0.648,0.648,0.279,0.277,0.213,3.584
1535,CN(CCCC1(c2ccc(Cl)cc2)OCc2cc(-c3cccc(C(F)(F)F)c3)ccc21)CC(=O)O,0.021829097372339,0.3332061041666638,0.031,0.186,0.156,-0.156,-0.287,-0.024,0.046,-0.975,0.975,0.263,0.243,0.217,3.805
1536,O=C(O)c1cc2nnn(C3CCC3)c2cc1Cl,0.0161697017572881,0.3841774140242973,0.047,0.231,0.184,-0.184,-0.3229999999999999,-0.045,0.061,-0.474,0.474,0.279,0.268,0.278,3.585
1537,O=C(O)c1cc2nnn(C3CCC3)c2cc1Cl,0.0159859551464099,0.3834424275807842,0.047,0.231,0.184,-0.184,-0.3229999999999999,-0.045,0.061,-0.472,0.472,0.278,0.268,0.278,3.597
1538,C[C@H](CCCCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,0.0694929682341636,0.3474648411708179,0.006,0.145,0.139,-0.139,-0.321,0.043,0.027,-0.986,0.986,0.364,0.359,0.152,2.748
1539,CC(=O)NCC1CCN(C(=O)N2CSC[C@H]2C(=O)O)CC1,0.0547564900417259,0.3308908968695975,0.01,0.148,0.138,-0.138,-0.302,0.026,0.029,-0.831,0.831,0.327,0.308,0.157,3.054
1540,CCc1ccc(N(C)CC2(CC(=O)O)CC2)cc1,0.052294285455957,0.2709895017232799,0.005,0.115,0.109,-0.109,-0.25,0.031,0.021,-0.652,0.652,0.281,0.215,0.12,3.563
1541,CC(=O)NCC1CCN(C(=O)N2CSC[C@H]2C(=O)O)CC1,0.0510815578241604,0.3353375648528518,0.012,0.154,0.142,-0.142,-0.304,0.02,0.031,-0.828,0.828,0.324,0.309,0.165,3.0860000000000003
1542,CC(=O)NCC1CCN(C(=O)N2CSC[C@H]2C(=O)O)CC1,0.0550504846191311,0.3322873711122724,0.01,0.148,0.139,-0.139,-0.303,0.026,0.029,-0.83,0.83,0.329,0.317,0.158,3.04
1543,CN(C)c1ccccc1NC(=O)NC(C)(C)C(=O)O,0.0567777027613869,0.2938475801165373,0.006,0.124,0.119,-0.119,-0.271,0.034,0.023,-0.598,0.598,0.304,0.277,0.13,3.284
1544,CN(C)c1ccccc1NC(=O)NC(C)(C)C(=O)O,0.0519267922342005,0.2796990910789101,0.006,0.12,0.114,-0.114,-0.257,0.029,0.023,-0.7020000000000001,0.7020000000000001,0.286,0.246,0.126,3.4930000000000003
1545,CN(C)c1ccccc1NC(=O)NC(C)(C)C(=O)O,0.0518165442676735,0.2799563363341397,0.006,0.12,0.114,-0.114,-0.257,0.029,0.023,-0.703,0.703,0.286,0.246,0.127,3.492
1546,CN(C)c1ccccc1NC(=O)NC(C)(C)C(=O)O,0.0561162149622251,0.2945458172378748,0.006,0.125,0.119,-0.119,-0.271,0.033,0.023,-0.562,0.562,0.304,0.274,0.132,3.2910000000000004
1547,CC(C)CC1NC(=O)[C@H](Cc2ccccc2)NC(=O)c2cnc(cn2)CSSC[C@@H](C(=O)O)NC(=O)[C@@H](C)CCC(=O)NC[C@H](O)[C@@H](O)[C@H](O)[C@H]2COB1O2,0.0252100350124993,0.3498535471122355,0.03,0.192,0.162,-0.162,-0.303,-0.022,0.047,-0.89,0.89,0.281,0.276,0.222,3.553
1548,CC(C)CC1NC(=O)[C@H](Cc2ccccc2)NC(=O)c2cnc(cn2)CSSC[C@@H](C(=O)O)NC(=O)[C@@H](C)CCC(=O)NC[C@H](O)[C@@H](O)[C@H](O)[C@H]2COB1O2,0.0201753778744345,0.3609150930871077,0.037,0.208,0.17,-0.17,-0.308,-0.032,0.053,-0.983,0.983,0.276,0.272,0.245,3.624
1549,CC(C)CC1NC(=O)[C@H](Cc2ccccc2)NC(=O)c2cnc(cn2)CSSC[C@@H](C(=O)O)NC(=O)[C@@H](C)CCC(=O)NC[C@H](O)[C@@H](O)[C@H](O)[C@H]2COB1O2,0.0102898102091833,0.3520217571205992,0.051,0.222,0.171,-0.171,-0.292,-0.05,0.06,-0.937,0.937,0.241,0.227,0.272,4.144
1550,CC(C)CC1NC(=O)[C@H](Cc2ccccc2)NC(=O)c2cnc(cn2)CSSC[C@@H](C(=O)O)NC(=O)[C@@H](C)CCC(=O)NC[C@H](O)[C@@H](O)[C@H](O)[C@H]2COB1O2,0.0104000581757103,0.3647002732712001,0.053,0.23,0.177,-0.177,-0.302,-0.053,0.063,-0.99,0.99,0.249,0.231,0.283,4.015
1551,CC(C)CC1NC(=O)[C@H](Cc2ccccc2)NC(=O)c2cnc(cn2)CSSC[C@@H](C(=O)O)NC(=O)[C@@H](C)CCC(=O)NC[C@H](O)[C@@H](O)[C@H](O)[C@H]2COB1O2,0.0076071096903605,0.3752105794134375,0.061,0.245,0.184,-0.184,-0.306,-0.061,0.069,-0.912,0.912,0.245,0.24,0.306,4.084
1552,Cc1ccc(-c2ccoc2)cc1NC(=O)CSCC(=O)Nc1ccc(Cl)cc1C(=O)O,0.0097385703765485,0.3297516678821523,0.047,0.207,0.16,-0.16,-0.273,-0.047,0.057,-0.998,0.998,0.226,0.2,0.254,4.416
1553,CC(=O)NCC1CCN(C(=O)N2CSC[C@H]2C(=O)O)CC1,0.0510815578241604,0.3376160228277424,0.012,0.155,0.143,-0.143,-0.306,0.02,0.032,-0.949,0.949,0.326,0.324,0.1669999999999999,3.07
1554,Cc1ccc(-c2ccoc2)cc1NC(=O)CSCC(=O)Nc1ccc(Cl)cc1C(=O)O,0.0096650717321972,0.3296414199156253,0.047,0.207,0.16,-0.16,-0.273,-0.047,0.057,-0.998,0.998,0.226,0.2,0.255,4.422
1555,CCc1ccc(N(C)CC2(CC(=O)O)CC2)cc1,0.0409754942258553,0.2930758443508485,0.012,0.138,0.126,-0.126,-0.264,0.012,0.029,-0.6559999999999999,0.6559999999999999,0.277,0.213,0.149,3.615
1556,CCc1cnc(SCC(=O)O)n1CCOC1CCCC1,0.049097094426675,0.2905401411207283,0.008,0.129,0.121,-0.121,-0.265,0.024,0.025,-0.794,0.794,0.289,0.224,0.1369999999999999,3.457
1557,CN(CCCC(=O)O)C1CCc2cc(Br)ccc21,0.0371168153974115,0.3143904512127285,0.016,0.155,0.139,-0.139,-0.281,0.003,0.034,-0.868,0.868,0.284,0.256,0.171,3.523
1558,CN(CCCC(=O)O)C1CCc2cc(Br)ccc21,0.0384765403179107,0.329567921271274,0.017,0.163,0.146,-0.146,-0.294,0.003,0.036,-0.8170000000000001,0.8170000000000001,0.297,0.28,0.18,3.3710000000000004
1559,C[C@H](Oc1cccc(C(=O)c2ccccc2)c1)C(=O)O,0.018852402276111,0.3490818113465468,0.037,0.202,0.165,-0.165,-0.298,-0.033,0.051,-0.7390000000000001,0.7390000000000001,0.265,0.242,0.239,3.772
1560,CC(CO)CC1(C(=O)O)CCOCC1,0.0761445955479571,0.3470973479490614,0.005,0.14,0.135,-0.135,-0.3229999999999999,0.052,0.025,-0.866,0.866,0.374,0.348,0.145,2.672
1561,COCOc1cc(OC)cc(NC(=O)C[C@@H]2OC(C)(C)O[C@@H]2C(C)/C=C\[C@@H](C)[C@@H](C)O)c1C(=O)O,0.0325231501254546,0.342136189455348,0.023,0.178,0.155,-0.155,-0.301,-0.008,0.041,-0.6509999999999999,0.6509999999999999,0.293,0.287,0.2,3.415
1562,COCOc1cc(OC)cc(NC(=O)C[C@@H]2OC(C)(C)O[C@@H]2C(C)/C=C\[C@@H](C)[C@@H](C)O)c1C(=O)O,0.0283704767196056,0.3317728806018133,0.025,0.176,0.152,-0.152,-0.29,-0.013,0.042,-0.631,0.631,0.277,0.269,0.201,3.609
1563,NC(=O)CCC(NC(=O)NCCc1cscn1)C(=O)O,0.0440991866107859,0.3479058330369258,0.016,0.168,0.152,-0.152,-0.312,0.008,0.036,-0.529,0.529,0.32,0.306,0.184,3.1260000000000003
1564,NC(=O)CCC(NC(=O)NCCc1cscn1)C(=O)O,0.0389542815061942,0.356725670359083,0.02,0.179,0.159,-0.159,-0.317,-0.001,0.04,-0.988,0.988,0.316,0.309,0.199,3.168
1565,NC(=O)CCC(NC(=O)NCCc1cscn1)C(=O)O,0.0392115267614238,0.3570931635808396,0.02,0.179,0.159,-0.159,-0.317,-0.001,0.04,-0.985,0.985,0.316,0.311,0.199,3.16
1566,NC(=O)CCC(NC(=O)NCCc1cscn1)C(=O)O,0.0423719684685302,0.3540429698402602,0.018,0.174,0.156,-0.156,-0.316,0.005,0.038,-0.506,0.506,0.321,0.315,0.192,3.1180000000000003
1567,CCC(Oc1ccccc1/C=C1\SC(=Nc2ccc(O)cc2C(=O)O)N(C)C1=O)C(C)=O,0.0123110229288444,0.3407764645348487,0.045,0.209,0.1639999999999999,-0.1639999999999999,-0.285,-0.044,0.056,-0.8009999999999999,0.8009999999999999,0.241,0.221,0.254,4.143
1568,CCc1cnc(SCC(=O)O)n1CCOC1CCCC1,0.050273072736296,0.2903931438320257,0.008,0.128,0.12,-0.12,-0.266,0.026,0.025,-0.8029999999999999,0.8029999999999999,0.291,0.224,0.135,3.434
